iter	MultiClass
177	0.2281056499
178	0.2273717537
179	0.2270563062
180	0.2264644006
181	0.2259503661
182	0.2255387732
183	0.2252530149
184	0.2248562418
185	0.2246381948
186	0.2242396632
187	0.2240201952
188	0.223624014
189	0.2231547044
190	0.2228883305
191	0.2226287953
192	0.2224120234
193	0.2221473567
194	0.2215792466
195	0.2214137071
196	0.220965493
197	0.2206651381
198	0.2202701485
199	0.2201238346
200	0.2198048765
201	0.219628311
202	0.2193469189
203	0.218953842
204	0.218599094
205	0.2178960656
206	0.2175852899
207	0.2174588199
208	0.2172326774
209	0.2170608578
210	0.2168715808
211	0.2166349546
212	0.216298178
213	0.2160168623
214	0.2156959823
215	0.2154606419
216	0.2151325139
217	0.2149469966
218	0.2145396598
219	0.2142377411
220	0.2140677519
221	0.2137323901
222	0.2133749682
223	0.2131035422
224	0.2126323825
225	0.2123895639
226	0.2122129678
227	0.211972307
228	0.2117241958
229	0.2112557503
230	0.2110065693
231	0.2105957763
232	0.2104215953
233	0.2100083205
234	0.2096373074
235	0.2093828515
236	0.2092107374
237	0.2090271171
238	0.2088514492
239	0.2086010352
240	0.2083044752
241	0.2080284138
242	0.2078077851
243	0.2076705354
244	0.2073013406
245	0.2069363751
246	0.2067129992
247	0.2064943129
248	0.2061270273
249	0.205933855
250	0.2056221619
251	0.2054294161
252	0.205138006
253	0.2049848603
254	0.2047628556
255	0.2045668089
256	0.2042887734
257	0.2040267904
258	0.2037433253
259	0.2033897241
260	0.2032234396
261	0.2028562886
262	0.2026288844
263	0.2023290223
264	0.2020852445
265	0.2015993876
266	0.2014133289
267	0.2011495443
268	0.2009469155
269	0.2004710389
270	0.2001208811
271	0.199971056
272	0.1997696498
273	0.1996370703
274	0.1994369832
275	0.1992486152
276	0.1989894521
277	0.1987899798
278	0.1984665307
279	0.1982987215
280	0.1981457988
281	0.1979268309
282	0.1976803327
283	0.1976134913
284	0.1973023543
285	0.1970821315
286	0.1969175777
287	0.1967486302
288	0.1965693947
289	0.1962943272
290	0.1960712242
291	0.1957073991
292	0.1954570203
293	0.1948733739
294	0.1945583971
295	0.1943539527
296	0.194090966
297	0.1939213352
298	0.1935102632
299	0.1932978157
300	0.1931812699
301	0.1929219631
302	0.1927395319
303	0.1925528534
304	0.1923307523
305	0.1921009633
306	0.1918473204
307	0.1916409959
308	0.1914344562
309	0.1912883057
310	0.1910534942
311	0.190834397
312	0.1907709147
313	0.1905098519
314	0.1902692024
315	0.1899543887
316	0.1897576767
317	0.189570131
318	0.189396159
319	0.1889674426
320	0.1887757949
321	0.188630005
322	0.188341135
323	0.1881926361
324	0.1880039705
325	0.1877553921
326	0.1875013868
327	0.1873706757
328	0.1872199037
329	0.1869453583
330	0.186799169
331	0.1866568727
332	0.1864301438
333	0.1863548201
334	0.1861536637
335	0.1860827168
336	0.1858376224
337	0.1854901204
338	0.1854148158
339	0.1852028403
340	0.1849052067
341	0.1847848179
342	0.1843205296
343	0.1841339537
344	0.183904517
345	0.1837458892
346	0.1836099828
347	0.1832816452
348	0.183116231
349	0.1829085986
350	0.1827286463
351	0.1825085092
352	0.1824498645
353	0.182177271
354	0.1821006706
355	0.1820069923
356	0.181849929
357	0.1816995296
358	0.1814899239
359	0.1814452659
360	0.1811612462
361	0.1809200524
362	0.1807175584
363	0.1804645482
364	0.1803254943
365	0.1799915964
366	0.179781123
367	0.1795944986
368	0.1792639708
369	0.1792045054
370	0.1790676573
371	0.1788394971
372	0.1787157954
373	0.1786111141
374	0.178465943
375	0.1782898683
