iter	Logloss
137	0.2625163411
138	0.2622066379
139	0.2613807045
140	0.2609683132
141	0.2605529301
142	0.2602851915
143	0.2599479756
144	0.2595150279
145	0.2590122782
146	0.2585366383
147	0.2581523432
148	0.2575745722
149	0.2570773303
150	0.2566597118
151	0.2562286722
152	0.2555814846
153	0.255359757
154	0.2550713747
155	0.2548052188
156	0.2543090604
157	0.2535339294
158	0.2531413639
159	0.2527065142
160	0.2523641234
161	0.2520890263
162	0.251702884
163	0.2511199352
164	0.2505466686
165	0.2498721486
166	0.2493825011
167	0.248803737
168	0.2482589496
169	0.2480831626
170	0.2474277976
171	0.2470867752
172	0.2467343077
173	0.2462268992
174	0.2457682744
175	0.2453536763
176	0.2450186841
177	0.244530942
178	0.2438965832
179	0.2434103677
180	0.2431576999
181	0.2427158899
182	0.2423270204
183	0.2420590217
184	0.241732376
185	0.2415537173
186	0.2409553797
187	0.2406759808
188	0.2402173922
189	0.2396174139
190	0.2393194158
191	0.2389880767
192	0.2385031854
193	0.2380593205
194	0.2376835586
195	0.237132921
196	0.2365383485
197	0.2361816455
198	0.2357646764
199	0.2352516296
200	0.2348110646
201	0.2344435937
202	0.2341362462
203	0.2336067447
204	0.2330366485
205	0.2326201407
206	0.2321146795
207	0.2313358846
208	0.2306707486
209	0.2303319881
210	0.2298303982
211	0.2294598832
212	0.2291618497
213	0.2289009437
214	0.2284699699
215	0.2280948652
216	0.2278022576
217	0.2273181558
218	0.2268139838
219	0.2260480716
220	0.2257664876
221	0.2252981385
222	0.2247175326
223	0.2241663967
224	0.2238122301
225	0.2234662685
226	0.2233164022
227	0.2229755425
228	0.2225764649
229	0.2220824526
230	0.2217196255
231	0.2212761506
232	0.2208620385
233	0.2205359144
234	0.2200741644
235	0.2198077974
236	0.2193518977
237	0.218980191
238	0.2188272492
239	0.2185093466
240	0.2180867352
241	0.2176407466
242	0.2174892061
243	0.2172365506
244	0.216695494
245	0.216366097
246	0.216063823
247	0.2155764422
248	0.2149435925
249	0.2145632579
250	0.2143648761
251	0.2140749033
252	0.2135848661
253	0.2134237916
254	0.2129181388
255	0.2125494619
256	0.2120061139
257	0.2117007648
258	0.2113330529
259	0.2111118326
260	0.2107552562
261	0.2104418759
262	0.2100902049
263	0.2098905447
264	0.2097024625
265	0.2094080673
266	0.2091158788
267	0.2088342934
268	0.208496908
269	0.2081570135
270	0.2079367523
271	0.2074278871
272	0.2071530933
273	0.2068558652
274	0.2066321473
275	0.2062395744
276	0.2058357837
277	0.2055900449
278	0.2050850817
279	0.2048963149
280	0.2045548881
281	0.2043632754
282	0.2040539632
283	0.2037399156
284	0.2035839265
285	0.2031942276
286	0.2029814758
287	0.2026484322
288	0.2023590306
289	0.2021103629
290	0.2019670996
291	0.2017142706
292	0.2015316324
293	0.2012824712
294	0.2007671479
295	0.2002977263
296	0.2000847171
297	0.1996441101
298	0.1994448528
299	0.1992127491
300	0.1989680301
301	0.1987438113
302	0.1985002057
303	0.1981835257
304	0.1978305241
305	0.1976350078
306	0.1973606923
307	0.1971296307
308	0.1970319274
309	0.1968822502
310	0.1966223436
311	0.1963691937
312	0.1960898323
313	0.1958737239
314	0.1956375235
315	0.1952274827
316	0.1948496323
317	0.1946189595
318	0.194286376
319	0.1940735573
320	0.1937394206
321	0.1934876217
322	0.193242029
323	0.1930252802
324	0.1926002766
325	0.1923793695
326	0.1921973518
327	0.1919209276
328	0.1916309037
329	0.1913379331
330	0.1909291115
331	0.1905987656
332	0.1903804142
333	0.1901472247
334	0.189979147
335	0.1896650623
336	0.189422899
337	0.1891438391
338	0.1889908935
339	0.1887993936
340	0.1886342602
341	0.1884453895
342	0.1881775572
343	0.1879564303
344	0.1876964442
345	0.1874212239
346	0.1872160805
347	0.1869917597
348	0.1867299287
349	0.1862895339
350	0.1860702779
351	0.1856934644
352	0.185515819
353	0.1854507727
354	0.1852736154
355	0.1850529043
356	0.184902797
357	0.184677176
358	0.1843265834
359	0.1841016582
360	0.183879279
361	0.1836804645
362	0.1833714145
363	0.1829688509
364	0.1825087716
365	0.1822859784
366	0.1819716977
367	0.1816326807
368	0.1814319243
369	0.1809832937
370	0.1807287184
371	0.1803895505
372	0.1802120109
373	0.1799789809
374	0.1797522913
375	0.1795381031
376	0.1793165512
377	0.179121995
378	0.1788290825
379	0.1785509531
380	0.1782574327
381	0.1779197398
382	0.1777163162
383	0.1774075118
384	0.1771760308
385	0.1770236334
386	0.1766303156
387	0.176328937
388	0.1761876073
389	0.1759862481
390	0.1757786273
391	0.1755532987
392	0.1752866662
393	0.1749662459
394	0.1746846908
395	0.1745148654
396	0.1743017562
397	0.1741179314
398	0.1738738075
399	0.1735731415
400	0.1734528893
401	0.1732625814
402	0.1731122401
403	0.1729105644
404	0.1726624936
405	0.1724640523
406	0.1722062406
407	0.172065447
408	0.1719500795
409	0.1717341274
410	0.1715361625
411	0.1713517973
412	0.1712698511
413	0.1711305742
414	0.1706819147
415	0.170475041
416	0.1702327779
417	0.170071416
418	0.1699034095
419	0.1696230443
420	0.1693956181
421	0.1691139337
422	0.1689216835
423	0.1688058963
424	0.1686300715
425	0.168448089
426	0.1682954889
427	0.1680256925
428	0.1678139801
429	0.1676836236
430	0.1674864771
431	0.1672232796
432	0.167002044
433	0.1668622699
434	0.1667496678
435	0.1665582883
436	0.1662512119
437	0.1659644121
438	0.1657508132
439	0.1655999267
440	0.1653589386
441	0.1651140298
442	0.164978263
443	0.1646972043
444	0.1644517186
445	0.1642112817
446	0.1639973729
447	0.1637420733
448	0.1635412289
449	0.1634019485
450	0.1632985321
451	0.1630559445
452	0.1628811935
453	0.162673845
454	0.1623415727
455	0.1621595572
456	0.1619863294
457	0.1617656936
458	0.1616170848
459	0.1614577407
460	0.1611139112
461	0.1608699533
462	0.1606281732
463	0.1604143028
464	0.1602099597
465	0.1599016346
466	0.159669066
467	0.1595238962
468	0.1593882264
469	0.1592469519
470	0.159019648
471	0.1587838928
472	0.1586623314
473	0.1584387319
474	0.1582967412
475	0.1580515413
476	0.1579018291
477	0.1577855079
478	0.1576645383
479	0.1575338028
480	0.1574004941
481	0.1572592699
482	0.1570264435
483	0.1568110692
484	0.156578122
485	0.1564847208
486	0.1562387226
487	0.1560968622
488	0.1559801963
489	0.1557232807
490	0.1554968549
491	0.1552509276
492	0.155105318
493	0.1549339726
494	0.1547951962
495	0.1546059541
496	0.1544660657
497	0.1543238449
498	0.1541499665
499	0.1539239374
