iter	Passed	Remaining
408	5019	1116
409	5030	1104
410	5040	1091
411	5052	1079
412	5063	1066
413	5073	1053
414	5084	1041
415	5095	1028
416	5106	1016
417	5119	1004
418	5131	991
419	5140	979
420	5150	966
421	5160	953
422	5170	941
423	5181	928
424	5191	916
425	5201	903
426	5212	891
427	5221	878
428	5232	866
429	5243	853
430	5252	840
431	5263	828
432	5273	815
433	5284	803
434	5296	791
435	5308	779
436	5319	766
437	5333	755
438	5346	742
439	5356	730
440	5367	718
441	5377	705
442	5387	693
443	5396	680
444	5407	668
445	5416	655
446	5429	643
447	5441	631
448	5450	619
449	5462	606
450	5473	594
451	5483	582
452	5495	570
453	5507	558
454	5520	545
455	5536	534
456	5550	522
457	5563	510
458	5575	498
459	5585	485
460	5598	473
461	5613	461
462	5626	449
463	5637	437
464	5647	425
465	5657	412
466	5670	400
467	5682	388
468	5695	376
469	5703	364
470	5716	351
471	5729	339
472	5743	327
473	5757	315
474	5771	303
475	5785	291
476	5800	279
477	5814	267
478	5826	255
479	5837	243
480	5850	231
481	5862	218
482	5875	206
483	5885	194
484	5896	182
485	5909	170
486	5919	158
487	5933	145
488	5949	133
489	5964	121
490	5975	109
491	5984	97
492	5996	85
493	6009	72
494	6018	60
495	6028	48
496	6040	36
497	6049	24
498	6059	12
499	6069	0
